update,mean_fitness,min_fitness,max_fitness,inferiority
0,15.946,0,64,0.249156
1,26.235,0,64,0.409922
2,37.123,0,64,0.580047
3,46.235,0,64,0.722422
4,52.829,16,80,0.660362
5,60.331,14,80,0.754138
6,63.81,13,96,0.664687
7,67.184,14,96,0.699833
8,73.857,14,96,0.769344
9,80.19,14,96,0.835313
10,85.006,12,112,0.758982
11,91.84,16,112,0.82
12,94.158,18,112,0.840696
13,95.72,16,112,0.854643
14,98.845,16,112,0.882545
15,105.345,15,112,0.94058
16,108.295,14,112,0.96692
17,109.302,14,112,0.975911
18,108.671,13,112,0.970277
19,108.372,16,112,0.967607
20,108.573,16,112,0.969402
21,108.361,13,112,0.967509
22,108.642,16,112,0.970018
23,109.247,17,112,0.97542
24,109.25,20,112,0.975446
25,109.535,17,112,0.977991
26,109.056,15,112,0.973714
27,109.444,17,112,0.977179
28,108.922,16,112,0.972518
29,109.109,16,112,0.974187
30,109.141,16,112,0.974473
31,109.048,16,112,0.973643
32,109.51,17,112,0.977768
33,109.002,17,112,0.973232
34,109.072,16,112,0.973857
35,108.795,16,112,0.971384
36,108.912,15,128,0.850875
37,109.447,16,128,0.855055
38,108.577,17,128,0.848258
39,109.709,15,128,0.857102
40,111.95,16,128,0.874609
41,117.532,19,128,0.918219
42,123.809,15,128,0.967258
43,125.416,21,144,0.870944
44,125.55,13,144,0.871875
45,125.665,18,144,0.872674
46,125.76,13,144,0.873333
47,126.481,18,144,0.87834
48,130.966,17,144,0.909486
49,137.234,18,144,0.953014
50,141.368,18,144,0.981722
51,140.662,16,144,0.976819
52,141.221,18,144,0.980701
53,141.141,17,144,0.980146
54,140.519,14,160,0.878244
55,141.117,13,160,0.881981
56,140.831,17,160,0.880194
57,141.802,13,160,0.886262
58,143.351,17,160,0.895944
59,147.352,16,160,0.92095
60,154.247,16,160,0.964044
61,156.483,16,160,0.978019
62,156.522,19,160,0.978263
63,156.026,16,160,0.975163
64,156.692,16,160,0.979325
65,155.588,15,160,0.972425
66,155.309,16,160,0.970681
67,156.871,16,160,0.980444
68,156.426,16,160,0.977662
69,156.035,16,176,0.886563
70,156.638,14,176,0.889989
71,156.476,16,176,0.889068
72,158.267,16,176,0.899244
73,160.243,16,176,0.910472
74,164.271,7,176,0.933358
75,170.454,16,176,0.968489
76,172.215,16,176,0.978494
77,172.871,80,176,0.982222
78,172.446,17,176,0.979807
79,171.341,16,176,0.973528
80,171.478,16,176,0.974307
81,171.94,16,176,0.976932
82,171.898,20,176,0.976693
83,172.125,16,176,0.977983
84,171.877,17,176,0.976574
85,171.83,13,176,0.976307
86,171.297,16,176,0.973278
87,171.93,17,176,0.976875
88,171.887,17,176,0.976631
89,171.818,16,176,0.976239
90,172.036,17,176,0.977477
91,172.59,16,192,0.898906
92,171.926,17,192,0.895448
93,172.294,17,192,0.897365
94,173.891,16,192,0.905682
95,175.316,16,192,0.913104
96,178.741,16,192,0.930943
97,185.428,14,192,0.965771
98,187.398,16,192,0.976031
99,188.36,18,192,0.981042
100,188.311,18,192,0.980786
101,186.294,16,192,0.970281
102,188.53,16,192,0.981927
103,188.423,18,192,0.98137
104,187.809,16,192,0.978172
105,187.749,16,192,0.977859
106,186.943,16,192,0.973661
107,187.96,16,192,0.978958
108,187.043,18,192,0.974182
109,187.649,16,192,0.977339
110,187.179,18,192,0.974891
111,188.033,16,192,0.979339
112,186.541,16,192,0.971568
113,187.836,16,192,0.978313
114,187.365,16,192,0.975859
115,186.57,18,192,0.971719
116,187.932,18,192,0.978812
117,186.707,16,192,0.972432
118,188.401,16,192,0.981255
119,188.174,18,192,0.980073
120,187.509,16,192,0.976609
121,187.839,16,192,0.978328
122,187.519,18,192,0.976661
123,187.7,18,192,0.977604
124,188.368,95,192,0.981083
125,187.437,22,192,0.976234
126,188.027,18,192,0.979307
127,187.409,16,192,0.976089
128,188.011,18,192,0.979224
129,187.926,16,192,0.978781
130,188.198,25,192,0.980198
131,187.014,16,192,0.974031
132,187.763,16,192,0.977932
133,187.251,17,192,0.975266
134,187.395,15,192,0.976016
135,188.388,64,192,0.981187
136,186.657,14,192,0.972172
137,188.009,16,192,0.979214
138,188.379,18,192,0.981141
139,188.565,16,192,0.982109
140,187.259,18,192,0.975307
141,186.762,16,192,0.972719
142,187.086,16,192,0.974406
143,187.92,16,192,0.97875
144,187.618,20,192,0.977177
145,188.159,18,192,0.979995
146,187.357,16,192,0.975818
147,187.06,16,192,0.974271
148,187.583,18,192,0.976995
149,188.595,14,192,0.982266
150,188.115,16,192,0.979766
151,187.065,16,192,0.974297
152,187.593,16,192,0.977047
153,188.22,17,192,0.980313
154,187.343,14,192,0.975745
155,187.737,16,192,0.977797
156,188.031,16,192,0.979328
157,187.09,16,192,0.974427
158,188.016,23,192,0.97925
159,187.668,16,192,0.977437
160,187.779,18,192,0.978016
161,187.466,14,192,0.976385
162,187.935,17,192,0.978828
163,187.419,18,192,0.976141
164,187.926,16,192,0.978781
165,187.552,16,192,0.976833
166,187.411,18,192,0.976099
167,188.157,21,192,0.979984
168,186.813,16,192,0.972984
169,187.417,12,192,0.97613
170,187.95,17,192,0.978906
171,187.782,16,192,0.978031
172,187.348,16,192,0.975771
173,187.523,16,192,0.976682
174,187.305,16,192,0.975547
175,188.013,16,192,0.979234
176,188.178,18,192,0.980094
177,187.518,16,192,0.976656
178,186.663,18,192,0.972203
179,187.928,16,192,0.978792
180,187.516,25,192,0.976646
181,187.067,16,192,0.974307
182,187.613,25,192,0.977151
183,187.088,16,192,0.974417
184,187.509,17,192,0.976609
185,187.562,16,192,0.976885
186,187.88,16,192,0.978542
187,187.07,18,192,0.974323
188,187.617,18,192,0.977172
189,187.089,16,192,0.974422
190,188.045,25,192,0.979401
191,187.357,16,192,0.975818
192,188.001,17,192,0.979172
193,187.834,16,192,0.978302
194,187.85,15,192,0.978385
