update,mean_fitness,min_fitness,max_fitness,inferiority
0,15.523,0,64,0.242547
1,25.891,0,64,0.404547
2,36.284,0,80,0.45355
3,45.492,1,80,0.56865
4,54.342,13,80,0.679275
5,62.561,16,80,0.782012
6,68.331,16,80,0.854137
7,74.863,16,96,0.779823
8,78.289,16,96,0.81551
9,78.704,16,96,0.819833
10,78.755,16,96,0.820365
11,79.184,4,96,0.824833
12,82.543,16,96,0.859823
13,89.277,16,96,0.929969
14,93.606,16,96,0.975063
15,93.527,16,96,0.97424
16,93.989,16,96,0.979052
17,93.764,16,96,0.976708
18,94.033,16,96,0.97951
19,93.979,16,96,0.978948
20,93.677,16,112,0.836402
21,93.859,16,112,0.838027
22,94.525,14,112,0.843973
23,95.988,15,112,0.857036
24,99.94,16,112,0.892321
25,106.805,16,112,0.953616
26,109.241,16,112,0.975366
27,109.938,16,112,0.981589
28,109.821,16,112,0.980545
29,109.591,16,112,0.978491
30,108.662,16,112,0.970196
31,109.912,16,112,0.981357
32,109.434,16,112,0.977089
33,109.191,16,112,0.97492
34,109.227,16,112,0.975241
35,109.378,16,112,0.976589
36,109.132,16,112,0.974393
37,109.463,16,112,0.977348
38,109.389,16,128,0.854602
39,109.855,12,128,0.858242
40,109.612,16,128,0.856344
41,111.746,16,128,0.873016
42,116.308,16,128,0.908656
43,122.701,16,128,0.958602
44,124.85,16,128,0.975391
45,124.784,16,128,0.974875
46,124.602,16,128,0.973453
47,125.199,16,128,0.978117
48,125.715,16,128,0.982148
49,124.982,16,128,0.976422
50,124.705,16,128,0.974258
51,125.249,16,128,0.978508
52,125.747,16,128,0.982398
53,125.055,16,128,0.976992
54,124.68,16,128,0.974063
55,125.121,16,128,0.977508
56,125.58,16,128,0.981094
57,125.894,16,128,0.983547
58,124.968,16,128,0.976313
59,125.574,16,128,0.981047
60,124.499,16,128,0.972648
61,125.348,16,128,0.979281
62,125.999,16,144,0.874993
63,125.366,16,144,0.870597
64,125.567,16,144,0.871993
65,126.35,13,144,0.877431
66,130.581,22,144,0.906813
67,136.798,16,144,0.949986
68,141.041,16,144,0.979451
69,140.345,16,144,0.974618
70,140.972,16,144,0.978972
71,140.603,16,144,0.97641
72,140.427,16,144,0.975187
73,140.377,15,144,0.97484
74,141.327,16,144,0.981437
75,141.342,16,144,0.981542
76,140.785,16,144,0.977674
77,140.957,16,144,0.978868
78,140.628,16,144,0.976583
79,140.319,16,144,0.974437
80,140.737,16,144,0.97734
81,141.401,18,144,0.981951
82,141.651,16,144,0.983688
83,140.456,16,144,0.975389
84,141.178,16,144,0.980403
85,141.01,16,144,0.979236
86,140.458,16,144,0.975403
87,141.041,16,144,0.979451
88,140.885,16,144,0.978368
89,141.242,16,144,0.980847
90,141.494,16,144,0.982597
91,141.302,16,144,0.981264
92,140.783,16,144,0.97766
93,141.172,16,144,0.980361
94,140.887,15,144,0.978382
95,141.048,16,144,0.9795
96,140.831,16,144,0.977993
97,140.825,16,144,0.977951
98,141.311,16,144,0.981326
99,141.1,17,144,0.979861
100,141.218,15,144,0.980681
101,140.144,15,144,0.973222
102,140.922,16,144,0.978625
103,140.437,15,144,0.975257
104,140.983,13,160,0.881144
105,141.102,16,160,0.881888
106,140.953,16,160,0.880956
107,141.664,16,160,0.8854
108,144.27,16,160,0.901687
109,149.917,19,160,0.936981
110,155.881,9,160,0.974256
111,156.595,16,160,0.978719
112,156.996,18,160,0.981225
113,157.454,19,160,0.984088
114,156.799,16,160,0.979994
115,156.685,14,160,0.979281
116,157.176,22,160,0.98235
117,157.112,16,160,0.98195
118,157.197,20,160,0.982481
119,157.495,17,160,0.984344
120,156.903,14,160,0.980644
121,157.233,16,160,0.982706
122,157.764,83,160,0.986025
123,156.805,9,160,0.980031
124,156.254,16,160,0.976588
125,157.676,80,160,0.985475
126,157.248,20,160,0.9828
127,157.265,70,160,0.982906
128,156.655,16,160,0.979094
129,156.93,16,160,0.980812
130,156.295,15,160,0.976844
131,156.754,16,160,0.979712
132,156.532,19,160,0.978325
133,157.087,16,160,0.981794
134,156.797,16,160,0.979981
135,156.642,16,160,0.979012
136,156.676,16,160,0.979225
137,156.839,16,160,0.980244
138,156.948,16,160,0.980925
139,156.968,20,160,0.98105
140,156.656,16,160,0.9791
141,155.515,16,160,0.971969
142,156.32,9,160,0.977
143,156.765,16,160,0.979781
144,157.51,16,160,0.984437
145,156.616,16,160,0.97885
146,156.842,16,160,0.980263
147,156.569,19,160,0.978556
148,156.867,16,160,0.980419
149,156.411,16,160,0.977569
150,156.644,16,160,0.979025
151,156.694,16,160,0.979337
152,156.881,16,160,0.980506
153,156.119,16,160,0.975744
154,156.522,16,160,0.978263
155,156.254,16,160,0.976588
156,157.085,16,160,0.981781
157,156.874,16,160,0.980463
158,157.114,16,160,0.981962
159,156.64,16,160,0.979
160,156.971,16,160,0.981069
161,157.112,16,160,0.98195
162,156.702,16,160,0.979387
163,156.916,16,160,0.980725
164,157.152,16,160,0.9822
165,156.91,16,160,0.980688
166,157.01,16,160,0.981313
167,156.617,16,160,0.978856
168,157.107,16,160,0.981919
169,156.791,18,160,0.979944
170,156.534,16,160,0.978337
