update,mean_fitness,min_fitness,max_fitness,inferiority
0,15.926,0,63,0.252794
1,26.462,0,63,0.420032
2,37.185,12,64,0.581016
3,45.605,0,64,0.712578
4,50.675,16,80,0.633437
5,57.016,15,80,0.7127
6,62.71,16,80,0.783875
7,64.785,16,80,0.809813
8,68.508,17,95,0.721137
9,75.376,16,95,0.793432
10,79.079,16,95,0.832411
11,80.965,11,95,0.852263
12,85.808,16,96,0.893833
13,92.062,30,111,0.829387
14,93.507,34,111,0.842405
15,93.586,16,111,0.843117
16,95.916,16,112,0.856393
17,99.527,21,112,0.888634
18,106.418,18,112,0.950161
19,109.216,16,112,0.975143
20,109.643,16,127,0.863331
21,110.077,16,127,0.866748
22,111.035,17,128,0.867461
23,110.914,21,128,0.866516
24,113.042,16,128,0.883141
25,118.507,44,128,0.925836
26,124.278,7,128,0.970922
27,126.083,23,128,0.985023
28,125.96,20,128,0.984062
29,126.029,22,128,0.984602
30,125.658,16,128,0.981703
31,126.027,16,128,0.984586
32,126.089,48,128,0.98507
33,126.227,20,128,0.986148
34,126.024,16,128,0.984563
35,126.054,29,128,0.984797
36,125.759,23,128,0.982492
37,125.093,16,128,0.977289
38,125.645,16,144,0.872535
39,126.183,52,144,0.876271
40,125.758,16,144,0.873319
41,127.551,33,144,0.885771
42,130.164,19,144,0.903917
43,136.005,16,144,0.944479
44,140.735,23,144,0.977326
45,141.533,15,144,0.982868
46,141.588,17,144,0.98325
47,141.213,16,144,0.980646
48,141.225,25,159,0.888208
49,141.862,46,159,0.892214
50,142.788,96,159,0.898038
51,142.491,52,159,0.89617
52,144.394,18,160,0.902462
53,148.758,60,160,0.929737
54,154.858,17,160,0.967862
55,156.52,25,160,0.97825
56,156.334,16,160,0.977087
57,156.575,30,160,0.978594
58,157.207,18,160,0.982544
59,157.438,84,160,0.983988
60,156.838,16,160,0.980237
61,157.085,16,160,0.981781
62,157.095,16,160,0.981844
63,156.818,16,160,0.980113
64,156.997,50,160,0.981231
65,157.081,24,160,0.981756
66,156.953,13,160,0.980956
67,156.842,87,160,0.980263
68,157.092,78,160,0.981825
69,156.954,18,160,0.980962
70,157.217,77,160,0.982606
71,157.812,19,160,0.986325
72,157.15,18,160,0.982187
73,156.645,13,176,0.890028
74,156.929,19,176,0.891642
75,157.657,22,176,0.895778
76,158.398,17,176,0.899989
77,161.587,21,176,0.918108
78,167.984,17,176,0.954455
79,172.317,16,192,0.897484
80,172.173,14,192,0.896734
81,172.017,16,192,0.895922
82,174.015,19,192,0.906328
83,174.96,17,192,0.91125
84,178.83,18,192,0.931406
85,185.371,14,192,0.965474
86,188.71,121,192,0.982865
87,187.977,16,192,0.979047
88,188.708,113,192,0.982854
89,188.033,20,192,0.979339
90,188.424,94,192,0.981375
91,188.493,18,192,0.981734
92,188.134,16,192,0.979865
93,188.664,18,192,0.982625
94,188.499,17,192,0.981766
95,188.024,17,192,0.979292
96,188.15,21,192,0.979948
97,187.91,18,192,0.978698
98,188.149,17,192,0.979943
99,188.579,26,192,0.982182
100,188.477,100,192,0.981651
101,188.226,18,192,0.980344
102,187.993,15,192,0.97913
103,187.692,15,192,0.977563
104,188.04,26,192,0.979375
105,188.942,64,192,0.984073
106,188.22,100,192,0.980313
107,187.855,16,192,0.978411
108,187.491,22,192,0.976516
109,188.272,13,192,0.980583
110,188.052,18,192,0.979437
111,188.424,17,208,0.905885
112,188.639,11,208,0.906918
113,189.385,18,208,0.910505
114,190.305,112,208,0.914928
115,193.079,20,208,0.928264
116,199.469,16,208,0.958986
117,203.467,19,208,0.978207
118,204.141,16,208,0.981447
119,204.727,125,208,0.984264
120,204.043,17,208,0.980976
121,204.394,17,208,0.982663
122,204.068,19,208,0.981096
123,205.077,101,208,0.985947
124,203.85,18,208,0.980048
125,203.804,12,208,0.979827
126,204.446,16,208,0.982913
127,204.146,17,208,0.981471
128,204.454,18,208,0.982952
129,204.959,144,208,0.98538
130,204.547,12,208,0.983399
131,203.726,15,208,0.979452
132,204.397,137,208,0.982678
133,204.554,18,224,0.913188
134,203.815,22,224,0.909888
135,204.564,87,224,0.913232
136,204.654,17,224,0.913634
137,206.496,16,224,0.921857
138,210.032,17,224,0.937643
139,217.015,41,224,0.968817
140,220.448,146,224,0.984143
141,219.826,16,224,0.981366
142,219.83,18,224,0.981384
143,220.185,18,224,0.982969
144,219.852,17,224,0.981482
145,218.981,16,224,0.977594
146,219.868,142,224,0.981554
147,219.898,18,240,0.916242
148,219.799,16,240,0.915829
149,220.672,21,240,0.919467
150,222.061,17,240,0.925254
151,225.88,17,240,0.941167
152,231.912,174,240,0.9663
153,234.804,16,240,0.97835
154,235.016,16,240,0.979233
155,235.592,17,240,0.981633
156,236.01,30,240,0.983375
157,235.181,17,240,0.979921
158,236.219,144,240,0.984246
159,235.343,17,240,0.980596
160,235.826,102,240,0.982608
161,234.516,17,240,0.97715
162,235.859,18,240,0.982746
163,235.146,20,240,0.979775
164,235.693,147,240,0.982054
165,234.388,14,240,0.976617
166,235.806,135,240,0.982525
167,235.199,16,240,0.979996
168,234.74,16,240,0.978083
169,235.257,17,240,0.980237
170,235.239,16,240,0.980163
171,235.319,12,240,0.980496
172,235.754,112,240,0.982308
173,235.761,16,240,0.982337
174,235.279,16,240,0.980329
175,235.358,16,240,0.980658
176,235.495,16,240,0.981229
177,234.973,17,240,0.979054
178,234.551,16,240,0.977296
179,235.32,16,240,0.9805
180,236.349,167,240,0.984788
181,235.331,16,240,0.980546
182,234.916,20,240,0.978817
183,235.483,17,240,0.981179
184,235.777,150,240,0.982404
185,235.102,21,240,0.979592
186,235.934,16,240,0.983058
187,235.303,30,240,0.980429
188,235.349,16,240,0.980621
189,236.133,12,240,0.983888
190,234.282,16,240,0.976175
191,234.9,16,240,0.97875
192,235.063,16,240,0.979429
193,235.204,11,240,0.980017
194,235.579,16,240,0.981579
195,235.372,17,240,0.980717
196,234.695,16,240,0.977896
197,234.941,15,240,0.978921
198,234.777,16,240,0.978237
199,235.665,18,240,0.981938
200,235.71,27,240,0.982125
201,235.921,29,240,0.983004
202,236.065,160,240,0.983604
203,235.45,19,240,0.981042
204,234.696,17,240,0.9779
205,235.912,126,240,0.982967
206,235.184,17,240,0.979933
207,235.872,14,240,0.9828
208,236.262,19,240,0.984425
209,235.153,11,240,0.979804
210,234.929,15,240,0.978871
211,235.782,18,240,0.982425
212,235.008,17,240,0.9792
213,235.465,15,240,0.981104
214,235.242,16,240,0.980175
215,235.337,18,240,0.980571
216,235.21,16,240,0.980042
217,235.096,17,240,0.979567
218,235.095,19,240,0.979563
219,235.912,17,240,0.982967
220,235.684,16,240,0.982017
221,235.452,19,240,0.98105
222,235.998,162,240,0.983325
223,234.444,19,240,0.97685
224,234.524,22,240,0.977183
225,236.044,161,240,0.983517
226,234.106,16,240,0.975442
227,234.987,16,240,0.979113
228,235.066,17,240,0.979442
229,234.842,16,240,0.978508
230,234.039,14,240,0.975163
231,235.026,16,240,0.979275
232,235.971,25,240,0.983213
233,234.931,15,240,0.978879
234,235.13,16,240,0.979708
235,235.795,130,240,0.982479
236,235.944,13,240,0.9831
237,235.166,28,240,0.979858
238,235.386,15,240,0.980775
239,235.41,16,256,0.91957
