update,mean_fitness,min_fitness,max_fitness,inferiority
0,0.7,0,2,0.35
10,2.01,2,3,0.67
20,2,2,2,1
30,2,2,2,1
40,2.52,2,3,0.84
50,2.58,2,3,0.86
60,2.51,2,3,0.836667
70,2.54,2,3,0.846667
80,2.53,1,3,0.843333
90,2.52,1,3,0.84
100,2.53,1,3,0.843333
110,3.84,1,4,0.96
120,3.74,2,4,0.935
130,3.74,2,4,0.935
140,3.72,2,4,0.93
150,3.86,2,4,0.965
160,3.9,2,4,0.975
170,3.84,2,4,0.96
180,3.74,2,4,0.935
190,3.79,2,4,0.9475
200,3.73,2,4,0.9325
210,3.88,2,4,0.97
220,3.86,2,4,0.965
230,3.8,2,4,0.95
240,3.84,2,4,0.96
